"source","DOI","Authors","Year","Species","Life Stage","In vitro/in vivo","Sex","Experiment Type","Exposure Route","Particle Mix?","Negative Control","Reference Particle","Exposure Media","Solvent","Detergent","pH","Salinity (ppt)","Temperature (Avg)","Temperature (Min)","Temperature (Max)","Exposure Duration (days)","Number of Doses","Replicates","Sample Size","Dosing Frequency","Nominal Chemical Added","Nominal Chemical Added Dose","Nominal Chemical Added Dose Units","Measured Chemical Added","Measured Chemical Added Dose","Measured Chemical Added Dose Units","Selected Dose","Effect","Direction","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Level of Biological Organization","Target Organelle, Cell, or Tissue","Polymer","Shape","Density (g/cm^3)","Density, reported or estimated","Charge","Zeta Potential (mV)","Zeta Potential Media","Functional Group","Particle Length (μm)","Size Category","Particle Volume (μm^3)","Particle Mass (mg)","Weathered or Biofouled?","Size Validated?","Polymer Validated?","Shape Validated","Particle Source","Sodium Azide Present?","Screened for Chemical Contamination?","Particle Cleaning?","Solvent Rinse","Background Contamination Monitored?","Concentration Validated?","Particle Behavior","Uptake Validated?","Tissue Distribution","Organisms Fed?"
"search","10.1007/s12013-015-0705-6","Barshtein",2016,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","phosphate buffer saline","not_reported","not_reported",NA,NA,"37",NA,NA,0.041666667,3,"1","7",0,"not_applicable",NA,NA,NA,NA,NA,28413164.32364895,"Yes","Increase","Circulatory","Cell Aggregation","Cell Aggregate Size","Cell","erythrocytes","Polystyrene","Sphere",1.07,"estimated",NA,NA,"not_reported","not_reported",0.14645,"100nm < 1µm",0.001644624,1.76e-12,"no","N","N","N","commercial","unknown","N","not_cleaned","none","N","N","not_evaluated","No",NA,NA
"search","10.1007/s12013-015-0705-6","Barshtein",2016,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","phosphate buffer saline","not_reported","not_reported",NA,NA,"37",NA,NA,0.041666667,3,"1","7",0,"not_applicable",NA,NA,NA,NA,NA,113652657.2945958,"Yes","Increase","Circulatory","Cell Aggregation","Cell Aggregation (Small)","Cell","erythrocytes","Polystyrene","Sphere",1.07,"estimated",NA,NA,"not_reported","not_reported",0.14645,"100nm < 1µm",0.001644624,1.76e-12,"no","N","N","N","commercial","unknown","N","not_cleaned","none","N","N","not_evaluated","No",NA,NA
"search","10.1007/s12013-015-0705-6","Barshtein",2016,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","phosphate buffer saline","not_reported","not_reported",NA,NA,"37",NA,NA,0.041666667,3,"1","7",0,"not_applicable",NA,NA,NA,NA,NA,284131643.2364894,"Yes","Increase","Circulatory","Cell Aggregation","Cell Aggregation (Small)","Cell","erythrocytes","Polystyrene","Sphere",1.07,"estimated",NA,NA,"not_reported","not_reported",0.14645,"100nm < 1µm",0.001644624,1.76e-12,"no","N","N","N","commercial","unknown","N","not_cleaned","none","N","N","not_evaluated","No",NA,NA
"search","10.1007/s12013-015-0705-6","Barshtein",2016,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","phosphate buffer saline","not_reported","not_reported",NA,NA,"37",NA,NA,0.041666667,3,"1","7",0,"not_applicable",NA,NA,NA,NA,NA,28413164.32364895,"Yes","Increase","Circulatory","Cell Aggregation","Cell Adhesion","Cell","erythrocytes","Polystyrene","Sphere",1.07,"estimated",NA,NA,"not_reported","not_reported",0.14645,"100nm < 1µm",0.001644624,1.76e-12,"no","N","N","N","commercial","unknown","N","not_cleaned","none","N","N","not_evaluated","No",NA,NA
"search","10.1007/s12013-015-0705-6","Barshtein",2016,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","phosphate buffer saline","not_reported","not_reported",NA,NA,"37",NA,NA,0.041666667,3,"1","7",0,"not_applicable",NA,NA,NA,NA,NA,113652657.2945958,"Yes","Increase","Circulatory","Cell Aggregation","Cell Adhesion","Cell","erythrocytes","Polystyrene","Sphere",1.07,"estimated",NA,NA,"not_reported","not_reported",0.14645,"100nm < 1µm",0.001644624,1.76e-12,"no","N","N","N","commercial","unknown","N","not_cleaned","none","N","N","not_evaluated","No",NA,NA
"search","10.1007/s12013-015-0705-6","Barshtein",2016,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","phosphate buffer saline","not_reported","not_reported",NA,NA,"37",NA,NA,0.041666667,3,"1","7",0,"not_applicable",NA,NA,NA,NA,NA,284131643.2364894,"Yes","Increase","Circulatory","Cell Aggregation","Cell Adhesion","Cell","erythrocytes","Polystyrene","Sphere",1.07,"estimated",NA,NA,"not_reported","not_reported",0.14645,"100nm < 1µm",0.001644624,1.76e-12,"no","N","N","N","commercial","unknown","N","not_cleaned","none","N","N","not_evaluated","No",NA,NA
"search","10.1039/c9en00523d","Cortes",2020,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","culture medium DMEM","not_reported","not_reported",NA,NA,"37",NA,NA,2,4,"1","9",0,"not_applicable",NA,NA,NA,NA,NA,190399.5522990623,"No",NA,"Stress","DNA damage","Micronuclei Frequency","Subcell","caco2.cells","Polystyrene","Sphere",1.07,"estimated","negative","-9.8","artificial.medium","not_reported",0.210855,"100nm < 1µm",0.004908517,5.25e-12,"no","Y","N","Y","commercial","yes","N","not_cleaned","none","N","N","not_evaluated","Yes",NA,NA
"search","10.1039/c9en00523d","Cortes",2020,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","culture medium DMEM","not_reported","not_reported",NA,NA,"37",NA,NA,2,4,"1","9",0,"not_applicable",NA,NA,NA,NA,NA,4759988.807476558,"No",NA,"Stress","DNA damage","Micronuclei Frequency","Subcell","caco2.cells","Polystyrene","Sphere",1.07,"estimated","negative","-9.8","artificial.medium","not_reported",0.210855,"100nm < 1µm",0.004908517,5.25e-12,"no","Y","N","Y","commercial","yes","N","not_cleaned","none","N","N","not_evaluated","Yes",NA,NA
"search","10.1039/c9en00523d","Cortes",2020,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","culture medium DMEM","not_reported","not_reported",NA,NA,"37",NA,NA,2,4,"1","9",0,"not_applicable",NA,NA,NA,NA,NA,9519977.614953116,"No",NA,"Stress","DNA damage","Micronuclei Frequency","Subcell","caco2.cells","Polystyrene","Sphere",1.07,"estimated","negative","-9.8","artificial.medium","not_reported",0.210855,"100nm < 1µm",0.004908517,5.25e-12,"no","Y","N","Y","commercial","yes","N","not_cleaned","none","N","N","not_evaluated","Yes",NA,NA
"search","10.1039/c9en00523d","Cortes",2020,"(Human) Homo sapiens","Not Reported","In Vitro",NA,"Particle Only","In Vitro","no","yes","no","culture medium DMEM","not_reported","not_reported",NA,NA,"37",NA,NA,2,4,"1","9",0,"not_applicable",NA,NA,NA,NA,NA,19039955.22990623,"No",NA,"Stress","DNA damage","Micronuclei Frequency","Subcell","caco2.cells","Polystyrene","Sphere",1.07,"estimated","negative","-9.8","artificial.medium","not_reported",0.210855,"100nm < 1µm",0.004908517,5.25e-12,"no","Y","N","Y","commercial","yes","N","not_cleaned","none","N","N","not_evaluated","Yes",NA,NA
