sensor_index,name,pm25_cf_1,humidity,latitude,longitude,timestamp
2213,Telex exch Honaunau,5.3,53,19.427696,-155.8759,2020-09-15T00:00:00Z
265189,Bea’s Knees Farm,5.2,49,19.549244,-155.93234,2020-09-15T00:00:00Z
3831,Waikii HPR tower,1.6,45,19.885942,-155.64737,2020-09-15T00:00:00Z
3836,HPA Energy Lab,0.4,41,20.031683,-155.69576,2020-09-15T00:00:00Z
3915,Elab internal,0.2,29,20.132814,-155.15334,2020-09-15T00:00:00Z
8174,Honoka'a HS,0,42,20.075865,-155.46341,2020-09-15T00:00:00Z
10690,Hoku,0.7,42,20.024797,-155.67482,2020-09-15T00:00:00Z
11058,Palm Villas at Mauna Lani,1.8,50,19.939959,-155.865,2020-09-15T00:00:00Z
11238,Kalaoa,3.3,68,19.71006,-155.98712,2020-09-15T00:00:00Z
11352,Jacaranda,4.4,50,19.474651,-155.90161,2020-09-15T00:00:00Z
11480,Kona View Estates,4.1,50,19.68627,-155.97891,2020-09-15T00:00:00Z
273805,Wainani,3.1,39,19.717693,-156.00674,2020-09-15T00:00:00Z
11662,Milolii Beach Lots,4.9,56,19.202532,-155.89539,2020-09-15T00:00:00Z
11996,73-4503 Kohanaiki Rd.,3.7,52,19.704615,-155.9838,2020-09-15T00:00:00Z
12062,Honokaa,0.2,48,20.067993,-155.46208,2020-09-15T00:00:00Z
12543,Hualalai,3,55,19.82537,-155.99638,2020-09-15T00:00:00Z
13323,Kohala Loke Lani,1,47,20.0704,-155.8446,2020-09-15T00:00:00Z
279394,Kamahao and Hookanike,0.3,34,21.398216,-157.95416,2020-09-15T00:00:00Z
283584,"Pickin' &amp; Grinin' Farm,  Wood Valley",1.4,64,19.277136,-155.47499,2020-09-15T00:00:00Z
25265,Silver Oaks,2.8,48,19.700962,-155.97987,2020-09-15T00:00:00Z
26843,Kahala &amp; Ulili,0.1,30,21.263254,-157.78575,2020-09-15T00:00:00Z
39147,Kapolie,0.2,38,21.360147,-158.04251,2020-09-15T00:00:00Z
56907,Kaohe Mauka,6.3,40,19.311298,-155.87045,2020-09-15T00:00:00Z
70191,HAVO Rainshed,0,NA,19.430813,-155.2578,2020-09-15T00:00:00Z
72125,Waikiki at Ena Rd,0.7,39,21.286882,-157.83478,2020-09-15T00:00:00Z
81885,Hale Kona,4.2,41,19.604677,-155.9645,2020-09-15T00:00:00Z
82965,RLA-B,0.8,45,21.310122,-157.8587,2020-09-15T00:00:00Z
88961,Kona Paradise,7.4,52,19.31378,-155.88242,2020-09-15T00:00:00Z
89607,Puuki at 2800ft,0.2,35,20.026686,-155.67798,2020-09-15T00:00:00Z
90025,"4,200 ft elevation Kaloko Mauka",9.4,97,19.706736,-155.9291,2020-09-15T00:00:00Z
90239,Lion's Gate Farm,7.5,55,19.43138,-155.88371,2020-09-15T00:00:00Z
93707,Hawaii Swimming,2.5,31,19.934813,-155.78651,2020-09-15T00:00:00Z
95485,Alii Lani,0,42,19.617756,-155.98204,2020-09-15T00:00:00Z
96233,STEM Pre-Academy,0,39,21.309168,-157.80869,2020-09-15T00:00:00Z
98887,"Kihei, HI",0.4,44,20.77523,-156.45792,2020-09-15T00:00:00Z
113943,JZHI,0.4,50,19.707436,-155.9796,2020-09-15T00:00:00Z
119811,Makalei Estates,0.5,46,19.73341,-155.9805,2020-09-15T00:00:00Z
120267,Umauma,0.2,57,21.938766,-159.50589,2020-09-15T00:00:00Z
121353,Moleculen,0.3,56,19.51558,-155.92781,2020-09-15T00:00:00Z
123663,Volcano,0,65,19.451317,-155.24246,2020-09-15T00:00:00Z
123827,Cocoanuts,0,44,21.968475,-159.72006,2020-09-15T00:00:00Z
125285,Ae’o,1.3,50,19.611593,-155.95692,2020-09-15T00:00:00Z
131265,puako,0,50,19.96625,-155.85226,2020-09-15T00:00:00Z
134806,Kilohana,2.8,0,20.021893,-155.7319,2020-09-15T00:00:00Z
135780,Kāhala &amp; Ulili,0.9,97,21.263294,-157.78566,2020-09-15T00:00:00Z
137572,Keonekai Rd-Inside,0,34,20.712812,-156.43349,2020-09-15T00:00:00Z
137658,PKM Farm,0,45,20.250664,-155.81267,2020-09-15T00:00:00Z
137712,LakoHouse,4,39,19.608747,-155.96782,2020-09-15T00:00:00Z
143732,KE-143,0,42,19.57947,-155.95586,2020-09-15T00:00:00Z
144638,Kahuku Facilities,0.2,51,19.065754,-155.67784,2020-09-15T00:00:00Z
147332,Makawao,0,48,20.845385,-156.31146,2020-09-15T00:00:00Z
153872,999 Wilder,0.9,46,21.309185,-157.8436,2020-09-15T00:00:00Z
157041,Paniolo Country,4.1,53,19.678368,-155.9814,2020-09-15T00:00:00Z
164409,Union Mill,1,43,20.23944,-155.8091,2020-09-15T00:00:00Z
168759,Union Mill Indoor,1.8,47,20.239601,-155.80956,2020-09-15T00:00:00Z
169519,Wailaau C&amp;P,0,35,21.912432,-159.46315,2020-09-15T00:00:00Z
169685,Ninole Makai,0.9,53,19.947739,-155.17891,2020-09-15T00:00:00Z
169961,Ainaloa,0.3,48,19.527859,-154.99074,2020-09-15T00:00:00Z
172517,Lahaina Comprehensive Health Center,1.2,44,20.904352,-156.68391,2020-09-15T00:00:00Z
172547,Seabury Hall,0.2,44,20.841162,-156.31116,2020-09-15T00:00:00Z
173173,Gilbert Kahele Recreation Area,5.8,46,19.74932,-155.52692,2020-09-15T00:00:00Z
174097,Wood Valley,0,66,19.273321,-155.49052,2020-09-15T00:00:00Z
174671,Pukalani ES,0.5,47,20.839848,-156.3459,2020-09-15T00:00:00Z
174713,Kula ES,0.3,54,20.760809,-156.33003,2020-09-15T00:00:00Z
175209,NEON D20 PUUM,0.6,NA,19.55334,-155.31734,2020-09-15T00:00:00Z
177047,Palisades,2.6,51,19.719692,-155.9866,2020-09-15T00:00:00Z
181731,Ihilani Pl,4,47,19.570461,-155.94595,2020-09-15T00:00:00Z
183549,Kahauloa Rd,4.4,41,19.47037,-155.9194,2020-09-15T00:00:00Z
192063,Lahaina Gateway SC,4.6,46,20.885355,-156.68213,2020-09-15T00:00:00Z
192079,Pahala PA16,9.8,51,19.203798,-155.48013,2020-09-15T00:00:00Z
192077,Emerald Plaza,0.3,38,20.8833,-156.67715,2020-09-15T00:00:00Z
192267,Volcano Village,0,69,19.430979,-155.23805,2020-09-15T00:00:00Z
192789,Nalo,1.3,43,21.335466,-157.72446,2020-09-15T00:00:00Z
193155,The Farm,3.7,35,19.63754,-155.95105,2020-09-15T00:00:00Z
193555,Pekelo Place,0,NA,20.781471,-156.32666,2020-09-15T00:00:00Z
193557,134 Aipuni St,1,46,20.899939,-156.68074,2020-09-15T00:00:00Z
193715,Makawao ES,0,NA,20.857306,-156.31314,2020-09-15T00:00:00Z
193713,KS-Maui,0.1,34,20.820028,-156.3387,2020-09-15T00:00:00Z
193725,Lahainaluna HS David Malo Dorm,0,34,20.888857,-156.65964,2020-09-15T00:00:00Z
193733,Kekaha ES,0,42,21.972042,-159.71588,2020-09-15T00:00:00Z
193779,University of Hawaii at Mānoa,0.3,NA,21.298212,-157.81654,2020-09-15T00:00:00Z
194573,"Kula, HI",0.9,52,20.761505,-156.30841,2020-09-15T00:00:00Z
195375,Namakanipaio Campground,0,61,19.425278,-155.29556,2020-09-15T00:00:00Z
195543,Kahuku Cross Fence,0,47,19.110434,-155.6975,2020-09-15T00:00:00Z
196507,Leilehua HS,0.7,44,21.50143,-158.0126,2020-09-15T00:00:00Z
196523,459 Front St,2.4,50,20.86684,-156.67438,2020-09-15T00:00:00Z
196529,108 Aipuni St,0.4,37,20.900036,-156.68173,2020-09-15T00:00:00Z
196537,Mililani Uka ES,0.1,34,21.437363,-158.0154,2020-09-15T00:00:00Z
196559,Kahoma Village Loop 2,0.3,42,20.881325,-156.68422,2020-09-15T00:00:00Z
197339,Koloa Estates,12.9,61,21.894398,-159.46841,2020-09-15T00:00:00Z
198169,Olowalu Valley 1,0,42,20.820642,-156.61647,2020-09-15T00:00:00Z
198181,Mililani Ike ES,0,41,21.480202,-157.98662,2020-09-15T00:00:00Z
198197,75 Kaniau Road,0.4,42,20.899618,-156.6825,2020-09-15T00:00:00Z
198219,Olowalu Village Road -  MKWP,0.4,47,20.811285,-156.62102,2020-09-15T00:00:00Z
198233,Front St 2,0.8,35,20.881277,-156.68475,2020-09-15T00:00:00Z
198457,Kahoma Village Loop,0.3,42,20.883347,-156.68288,2020-09-15T00:00:00Z
198463,Kapa'a HS,0,53,22.09138,-159.31297,2020-09-15T00:00:00Z
198461,King Kekaulike HS,0.2,41,20.826738,-156.32841,2020-09-15T00:00:00Z
207227,AMP,4.9,47,20.886524,-156.68527,2020-09-15T00:00:00Z
210065,Singing Mountain,0.5,48,19.600403,-154.9626,2020-09-15T00:00:00Z
210091,HCC,5,32,20.885366,-156.67445,2020-09-15T00:00:00Z
